condition,severity,method,image,IoU,F1,inference_ms
fog,0.0,classical,clips/0601/1495058695570408263/20.jpg,0.031342771169497345,0.060780512639761884,3.0843749409541488
fog,0.0,classical,clips/0601/1495058701567358056/20.jpg,0.1600947306098283,0.27600285801776053,2.074916963465512
fog,0.0,classical,clips/0601/1495058707565707879/20.jpg,0.15915511609428798,0.274605380909766,2.4760839296504855
fog,0.0,classical,clips/0601/1495058715562283498/20.jpg,0.06286765595874991,0.11829818248075433,2.9693329706788063
fog,0.0,classical,clips/0601/1495058721558633337/20.jpg,0.0679148098848313,0.12719143747459696,2.8184590628370643
fog,0.0,classical,clips/0601/1495058727556647955/20.jpg,0.02085652068715219,0.04086082669700418,3.2917079515755177
fog,0.0,classical,clips/0601/1495058733553446687/20.jpg,0.19209669640704125,0.3222837492730537,3.104125033132732
fog,0.0,classical,clips/0601/1495058739553286402/20.jpg,0.09879592466810744,0.17982579376229277,2.4684170493856072
fog,0.0,classical,clips/0601/1495058745548122682/20.jpg,0.17955490785438868,0.30444518802604825,2.1739169023931026
fog,0.0,classical,clips/0601/1495058751545486604/20.jpg,0.20060807075732448,0.3341774483171417,1.978584099560976
fog,0.0,classical,clips/0601/1495058757543228003/20.jpg,0.2317979641183319,0.37635711516091513,2.5137499906122684
fog,0.0,classical,clips/0601/1495058763540182973/20.jpg,0.10676665504011161,0.1929343544168164,1.9698749529197812
fog,0.0,classical,clips/0601/1495058769540492239/20.jpg,0.07151621936255231,0.13348602302090673,1.9249580800533295
fog,0.0,classical,clips/0601/1495058775535017414/20.jpg,0.041383737870070866,0.07947836395969177,2.012208104133606
fog,0.0,classical,clips/0601/1495058781534953658/20.jpg,0.22135754431474275,0.3624778761061947,2.3420839570462704
fog,0.0,classical,clips/0601/1495058787529671793/20.jpg,0.17373293100802945,0.2960348583877995,1.9898329628631473
fog,0.0,classical,clips/0601/1495058793526969174/20.jpg,0.07509787234042553,0.13970425255691712,1.4059169916436076
fog,0.0,classical,clips/0601/1495058799525818237/20.jpg,0.23408607087698793,0.3793674953492305,2.0172500517219305
fog,0.0,classical,clips/0601/1495058805523198969/20.jpg,0.1542313627917231,0.26724514298188173,1.5344590647146106
fog,0.0,classical,clips/0601/1495058811520330339/20.jpg,0.14522029584857643,0.2536111111111111,1.8356249202042818
fog,0.0,classical,clips/0601/1495058817516570927/20.jpg,0.03368142373878512,0.0651678998292544,1.8269169377163053
fog,0.0,classical,clips/0601/1495058823515900521/20.jpg,0.05883671410960439,0.1111346316680779,1.3587500434368849
fog,0.0,classical,clips/0601/1495058829511203058/20.jpg,0.2681816471650551,0.4229388554306227,1.825291896238923
fog,0.0,classical,clips/0601/1495058835510553015/20.jpg,0.3117419958663183,0.47530992656895676,1.9714999943971634
fog,0.0,classical,clips/0601/1495058841505989452/20.jpg,0.19204788657035848,0.3222150531601537,1.847167033702135
fog,0.0,classical,clips/0601/1495058847507116852/20.jpg,0.0,nan,1.7198330024257302
fog,0.0,classical,clips/0601/1495058853500724642/20.jpg,0.3157528985772283,0.47995774726191137,1.7882919637486339
fog,0.0,classical,clips/0601/1495058859498417310/20.jpg,0.1615902911856259,0.2782225237449118,1.786292064934969
fog,0.0,classical,clips/0601/1495058865495399571/20.jpg,0.15219269447420258,0.26417923877508176,1.7529589822515845
fog,0.0,classical,clips/0601/1495058871492888869/20.jpg,0.29325016364406453,0.45350879804686334,1.7747500678524375
fog,0.0,classical,clips/0601/1495058877492091924/20.jpg,0.10099428196816841,0.18346013893483293,1.7252920661121607
fog,0.0,classical,clips/0601/1495058883487530264/20.jpg,0.15982307408772575,0.2755990593021039,1.696874969638884
fog,0.0,classical,clips/0601/1495058889484921618/20.jpg,0.3178214153390144,0.48234367971210074,1.877125003375113
fog,0.0,classical,clips/0601/1495058895482305544/20.jpg,0.2738975921090804,0.43001508724985055,1.9374169642105699
fog,0.0,classical,clips/0601/1495058901481630657/20.jpg,0.2963292395060039,0.4571820652891036,2.0106250885874033
fog,0.0,classical,clips/0601/1495058907477059235/20.jpg,0.0,nan,2.084958949126303
fog,0.0,classical,clips/0601/1495058913475711516/20.jpg,0.08285732025332174,0.1530346033657292,1.8889580387622118
fog,0.0,classical,clips/0601/1495058919475143504/20.jpg,0.21739928757665897,0.3571536303580585,1.9047500099986792
fog,0.0,classical,clips/0601/1495058925469436408/20.jpg,0.14757305803013904,0.25719156963035517,1.6713329823687673
fog,0.0,classical,clips/0601/1495058931466470327/20.jpg,0.13920727649190268,0.24439323618188308,1.8417920218780637
fog,0.0,classical,clips/0601/1495058937463794073/20.jpg,0.1857574841245842,0.3133144620406498,2.048291964456439
fog,0.0,classical,clips/0601/1495058943463632446/20.jpg,0.1772358403748013,0.30110507053263696,1.1883750557899475
fog,0.0,classical,clips/0601/1495058949458758174/20.jpg,0.1360711002145265,0.23954680334502293,1.2056250125169754
fog,0.0,classical,clips/0601/1495485009641442407/20.jpg,0.05653460371810857,0.1070189343901365,2.497625071555376
fog,0.0,classical,clips/0601/1495485015638767825/20.jpg,0.011553375009891589,0.022842838144410547,2.426791936159134
fog,0.0,classical,clips/0601/1495485021636199888/20.jpg,0.049786083306425574,0.09484995866894788,2.7711669681593776
fog,0.0,classical,clips/0601/1495485027633718711/20.jpg,0.15578764142732812,0.269578313253012,2.6172079378739
fog,0.0,classical,clips/0601/1495485033630861236/20.jpg,0.14384606998800828,0.25151298546580897,2.226624987088144
fog,0.0,classical,clips/0601/1495485039628271607/20.jpg,0.08683017040200784,0.15978608759064944,2.7384168934077024
fog,0.0,classical,clips/0601/1495485045626852826/20.jpg,0.06684309715706323,0.12531008043298503,2.779332920908928
fog,0.0,classical,clips/0601/1495485051623004273/20.jpg,0.06067015706806283,0.11439966829229767,3.628708072938025
fog,0.0,classical,clips/0601/1495485057620656604/20.jpg,0.11684677552974097,0.20924405762700687,3.0477079562842846
fog,0.0,classical,clips/0601/1495485063617750112/20.jpg,0.06748113679761221,0.12643059342491447,2.685624989680946
fog,0.0,classical,clips/0601/1495485069617812641/20.jpg,0.11432301807270312,0.2051882913994409,2.149541978724301
